Data, Gold 
05/mar/18,1420.50
02/mar/18,1424.20
01/mar/18,1406.00
28/fev/18,1419.20
27/fev/18,1419.60
26/fev/18,1433.10
23/fev/18,1429.00
22/fev/18,1431.40
21/fev/18,1430.60
20/fev/18,1428.40
19/fev/18,1347.80
18/fev/18,1350.50
16/fev/18,1452.80
15/fev/18,1451.50
14/fev/18,1452.90
13/fev/18,1424.80
12/fev/18,1420.90
09/fev/18,1410.10
08/fev/18,1414.80
07/fev/18,1410.70
06/fev/18,1425.40
05/fev/18,1432.90
02/fev/18,1434.60
01/fev/18,1445.10
31/jan/18,1439.40
30/jan/18,1436.20
29/jan/18,1441.30
26/jan/18,1453.70
25/jan/18,1463.10
24/jan/18,1456.30
23/jan/18,1434.20
22/jan/18,1429.60
19/jan/18,1425.90
18/jan/18,1419.00
17/jan/18,1431.00
16/jan/18,1428.10
15/jan/18,1341.80
14/jan/18,1337.40
12/jan/18,1425.70
11/jan/18,1411.40
10/jan/18,1408.30
09/jan/18,1401.30
08/jan/18,1407.40
05/jan/18,1408.30
04/jan/18,1407.30
03/jan/18,1404.00
02/jan/18,1400.10
01/jan/18,1308.70
29/dez/17,1391.90
28/dez/17,1379.40
27/dez/17,1372.30
26/dez/17,1368.50
25/dez/17,1277.90
22/dez/17,1359.80
21/dez/17,1351.30
20/dez/17,1350.40
19/dez/17,1344.80
18/dez/17,1345.60
15/dez/17,1337.40
14/dez/17,1337.20
13/dez/17,1328.70
12/dez/17,1321.90
11/dez/17,1326.80
08/dez/17,1328.10
07/dez/17,1333.00
06/dez/17,1346.20
05/dez/17,1345.10
04/dez/17,1358.00
01/dez/17,1362.80
30/nov/17,1357.30
29/nov/17,1366.40
28/nov/17,1379.00
27/nov/17,1378.70
24/nov/17,1371.60
23/nov/17,1291.66
22/nov/17,1376.40
21/nov/17,1364.80
20/nov/17,1357.60
17/nov/17,1378.00
16/nov/17,1359.40
15/nov/17,1358.70
14/nov/17,1364.20
13/nov/17,1360.40
10/nov/17,1354.50
09/nov/17,1366.80
08/nov/17,1362.30
07/nov/17,1353.90
06/nov/17,1359.70
03/nov/17,1346.90
02/nov/17,1355.40
01/nov/17,1354.60
31/out/17,1347.70
30/out/17,1354.90
27/out/17,1349.10
26/out/17,1346.50
25/out/17,1355.50
24/out/17,1354.20
23/out/17,1356.90
20/out/17,1356.20
19/out/17,1365.90
18/out/17,1359.30
17/out/17,1362.50
16/out/17,1379.70
13/out/17,1380.40
12/out/17,1372.30
11/out/17,1364.50
10/out/17,1369.40
09/out/17,1360.40
06/out/17,1350.00
05/out/17,1348.30
04/out/17,1351.00
03/out/17,1348.80
02/out/17,1350.10
29/set/17,1357.60
28/set/17,1361.30
27/set/17,1360.70
26/set/17,1374.10
25/set/17,1383.50
22/set/17,1369.40
